osmid_x,x,y,name,weighted_dist,oneway,highway
6188848,51521822,5734000413,Northeast Stadium Way,0.16297231059776074,,secondary
6188848,5734000413,3073976614,Northeast Stadium Way,0.512962309193358,,secondary
6188848,3073976614,51545374,Northeast Stadium Way,0.7047522250067133,,secondary
6188856,51478396,2672058613,Southwest Cedar Street,0.7717755141542776,,residential
6197295,51478396,51576873,Southwest Skyline Drive,0.6478284085659973,,residential
6188856,2672058613,2672058672,Southwest Cedar Street,0.1336543379016225,,residential
6188856,2672058672,2672058578,Southwest Cedar Street,0.09097780428733375,,residential
6188856,2672058578,51478398,Southwest Cedar Street,0.10451547920144189,,residential
6188856,51478398,2672058334,Southwest Cedar Street,0.5140730140092541,,residential
6188856,2672058334,11218323292,Southwest Cedar Street,0.12227921135660777,,residential
261604990,2672058540,11218323292,,0.27209077565265466,,service
6188856,11218323292,51478400,Southwest Cedar Street,1.8886050806676162,,residential
66639262,3072542687,51478400,West Main Street,0.38665997659689855,,tertiary
6188858,51478405,581316111,Northwest Brandon Street,0.4493659951213947,,residential
6196289,51478405,3075898916,Northwest Terre View Drive,0.555130894679807,,tertiary
6188858,581316111,51478409,Northwest Brandon Street,2.236773678792267,,residential
6188858,51478409,51478412,Northwest Brandon Street,0.5920161747211036,,residential
6193890,51478409,51529329,Northwest Lamont Street,1.0529594022763007,,residential
6197395,51578274,51529329,Northwest Dillon Street,1.5306968065433393,,residential
6188861,51478436,3072068881,Southeast Rocky Way Drive,0.16036818668856243,,residential
421949587,51478436,473388552,South Grand Avenue,0.8034109274836498,,primary
6188861,3072068881,51478438,Southeast Rocky Way Drive,0.1055781178195418,,residential
6188861,51478438,11218323271,Southeast Rocky Way Drive,0.0886504834577913,,residential
6188861,11218323271,51478440,Southeast Rocky Way Drive,1.5193264443753765,,residential
6188861,51478440,51478441,Southeast Rocky Way Drive,1.1998276047648195,,residential
6194476,51478440,7792269769,Southeast Water Street,0.474499953773142,,residential
6188861,51478441,51478444,Southeast Rocky Way Drive,0.14543141238626114,,residential
6195810,51553382,51478444,Southeast South Street,0.15758809158397163,,residential
6188882,51478836,2673205015,Northwest Kenny Street,0.08906408121894598,,residential
6196563,51478836,51552020,Northwest North Street,2.0487748267375556,,residential
6195727,51524266,51552020,Northwest Turner Drive,1.058678402501558,,residential
6188882,2673205015,51478837,Northwest Kenny Street,1.0396977436723094,,residential
456919346,8026997299,51478837,Northwest Larry Street,1.530647421497315,,tertiary
6188882,51478837,8026997298,Northwest Kenny Street,0.06205320944410373,,residential
456919346,51478837,8026997297,Northwest Larry Street,0.09438537082340634,,tertiary
6188882,8026997298,51478838,Northwest Kenny Street,2.484727909599103,,residential
6192942,51519021,51478838,Northwest Orion Drive,1.1152114014977512,,residential
6188882,51478838,51478839,Northwest Kenny Street,2.010191892934408,,residential
6194351,8026997302,51478839,Northwest Linda Street,1.025002834287506,,residential
6188882,51478839,51478840,Northwest Kenny Street,1.1341166907505895,,residential
6194351,51478839,51529192,Northwest Linda Street,1.064304958576438,,residential
6193866,51529190,51529192,Northwest Deane Street,0.8857076950926323,,residential
6188882,51478840,51478841,Northwest Kenny Street,2.735115010803683,,residential
6192954,8898832556,51478841,Northwest Anthony Street,0.8196686772448933,,residential
6188884,51478850,3072542663,Southeast Sherwood Court,0.45355283998790086,,residential
6194085,51478850,579828001,Southeast Meadow Vale Drive,0.4842517425953497,,residential
6188884,3072542663,51478851,Southeast Sherwood Court,0.14006629273708285,,residential
6188922,51479322,51479325,,0.6287039561717968,,service
456916044,51479322,5587255921,Southeast Fairmount Road,0.7745101087884239,,residential
6188922,51479325,51479329,,1.0608522026162779,,service
6188922,51479329,51479331,,0.6469620395115717,,service
6188922,51479331,3070641065,,0.29827701732642053,,service
6188922,3070641065,51479334,,0.8111082729584724,,service
6188922,51479334,51479336,,1.2068532835300652,,service
6188922,51479336,444152428,,4.181716629595381,,service
6188922,444152428,3070637173,,0.10077099326584647,,service
6188922,3070637173,5587240147,,0.08077528824967795,,service
6188922,5587240147,5587240148,,0.08735224265765665,,service
6188922,5587240148,51479339,,0.1115790959207523,,service
6188922,51479339,51479341,,0.6582904194659847,,service
6188922,5587240161,51479341,,0.07775113732935938,,service
6188922,51479341,5587240149,,0.1292066743447252,,service
6188922,5587240149,5587240150,,0.044056124954407534,,service
6188922,5587240150,5587240151,,0.05191056575907785,,service
6188922,5587240151,5587240200,,0.03708297706816252,,service
6188922,5587240200,5587240153,,0.04766483543974267,,service
6188922,5587240153,5587240154,,0.04462369024242126,,service
6188922,5587240154,5587240163,,0.015748122139913903,,service
6188922,5587240163,5587240155,,0.012082344637046919,,service
6188922,5587240155,5587240162,,0.017840048624421834,,service
6188922,5587240162,5587240156,,0.01995347257409103,,service
6188922,5587240156,5587240165,,0.0175797800998367,,service
6188922,5587240165,5587240157,,0.019033060746576666,,service
6188922,5587240157,5587240164,,0.02879522203838971,,service
6188922,5587240164,5587240158,,0.027364747270078735,,service
6188922,5587240158,5587240159,,0.045671691970608067,,service
6188922,5587240159,5587240160,,0.04800834038332383,,service
6188922,5587240160,5587240161,,0.08073669908262843,,service
6188965,51479740,51479741,,0.3129991919834018,,service
1033010775,51479740,51567494,South Grand Avenue,1.4894457854163194,,primary
6188965,51479741,51479743,,0.47799638628479224,,service
6188965,51479743,51479744,,0.5521189074544084,,service
6188968,51479792,5474494283,,0.43145558023631747,,service
6188968,5474494283,51479794,,0.9420727283644125,,service
6196906,5474494286,51479794,Northeast Harvey Road,0.09365436102504518,,residential
6189031,51480518,51480521,,0.6265142424350576,,service
6197138,51480518,1707897404,Northeast Howard Street,0.5192772873574495,,residential
317886815,1707897407,1707897404,Northeast Opal Street,0.4780004919526354,,residential
6189031,51480521,11210460023,,0.03917664847411378,,service
6189031,11210460023,11210460022,,0.04540407612533416,,service
6189031,11210460022,11210460024,,0.03256528076168515,,service
6189031,11210460024,11210460021,,0.03404474408992094,,service
6189031,11210460021,51480523,,0.22977117747921053,,service
6189032,3051947956,3051947968,,0.29085545126841017,,service
6189032,3051947968,3051947169,,0.18468268964423434,,service
6189032,3051947169,51480526,,0.20665066416662137,,service
6189032,51480526,51480528,,0.6002072255712999,,service
6189032,51480528,3051947214,,0.28161649161668983,,service
6189032,3051947214,51480530,,0.1644667261362018,,service
6189032,51480530,51480532,,0.20429941524666792,,service
6189032,51480532,51480534,,0.8231389541182849,,service
6189032,51480534,51480536,,0.20445384539907185,,service
6189032,51480536,3051947222,,0.3293413708836265,,service
6189032,3051947222,51480537,,0.22622656294121316,,service
6189032,51480537,3051947200,,1.5677122448084615,,service
6189032,3051947200,51480539,,0.26286578759577006,,service
6189032,51480539,51480542,,0.325404954198684,,service
301086761,3051947166,51480542,,0.8534445383290996,,service
6189032,51480542,51484953,,0.14614079243007905,,service
6189032,51484953,3051947170,,0.4602159277677754,,service
6195056,51527654,3051947170,State Route 270,0.6555787220139357,,primary
6189072,51481032,51481034,,0.1693598948876535,,service
6193596,51481032,51526022,Old Moscow Road,0.3840434809539691,,residential
6189072,51481034,3051947955,,0.18353264155034357,,service
6189072,3051947955,51481036,,0.2598783317733185,,service
6189072,51481036,51481037,,2.323139439445466,,service
6189072,51481037,51481040,,0.24030581933482079,,service
6189097,51481202,5388598807,,0.1424969528282499,,service
6189097,5388598807,2964070927,,0.14037105973569736,,service
6189097,2964070927,51481203,,0.12552276401173257,,service
6189097,51481203,5388598808,,0.3920664476832322,,service
6189097,5388598808,51481206,,0.1911734948058177,,service
6192519,5909230867,51481206,,0.1745974257644008,,service
6189097,51481206,5388598809,,0.26433833003964524,,service
6189097,5388598809,2964070928,,0.32821421524806205,,service
6189097,2964070928,5388598810,,0.27631612479442125,,service
6189097,5388598810,5388598811,,0.22753731579518072,,service
6189097,5388598811,5388598812,,0.03353491587042937,,service
6189097,5388598812,5477022383,,0.021005958207213744,,service
6189097,5477022383,5477022385,,0.010289150062986849,,service
6189097,5477022385,5477022384,,0.010786195744932501,,service
6189097,5477022384,5477022386,,0.011066718894167946,,service
6189097,5477022386,51481208,,0.011189726907388054,,service
6189097,51481208,5477022387,,0.021559353119050065,,service
6189097,5477022387,5388598813,,0.022341499785697737,,service
6189097,5388598813,51481210,,0.4865602277220029,,service
6189097,51481210,5477022389,,0.02552484843669331,,service
6192520,51481210,51512521,,0.18210551447931736,,service
815649192,5477022388,51512521,Northeast Terre View Drive,0.0976732627029767,,secondary
6189097,5477022389,5477022390,,0.017789442185929434,,service
6189097,5477022390,5477022400,,0.018160603997369195,,service
6189097,5477022400,5477022399,,0.017425167645640983,,service
6189097,5477022399,5477022391,,0.022119408119910595,,service
6189097,5477022391,5388599037,,0.02155518558766694,,service
6189097,5388599037,51481212,,0.14029650019519663,,service
6189097,51481212,5388599038,,0.08626462331597909,,service
6189097,5388599038,2964070929,,0.07771892032199196,,service
6189097,2964070929,5477022392,,0.07272765227864275,,service
6189097,5477022392,5477022393,,0.08141930003756567,,service
6189097,5477022393,5388599039,,0.08205523371043426,,service
6189097,5388599039,5477022394,,0.10221958380931306,,service
6189097,5477022394,2964070930,,0.07776643849767766,,service
6189097,2964070930,5477022397,,0.08237091650730068,,service
6189097,5477022397,5477022396,,0.08525252963151755,,service
6189097,5477022396,5477022401,,0.12150439689818796,,service
6189097,5477022401,5477022395,,0.12820931450098788,,service
6189097,5477022395,5388599041,,0.17493830807174368,,service
6189097,5388599041,51481213,,0.29592884248257645,,service
6189156,5519399650,5519399563,Northeast Terre View Drive,1.829716176481317,,secondary
1106471939,5519399650,11203292503,Northeast Terre View Drive,0.20176683100327036,yes,secondary
6189156,5519399563,2501925845,Northeast Terre View Drive,3.2416944256705666,,secondary
6189156,2501925845,5519399553,Northeast Terre View Drive,5.835799255470607,,secondary
6189156,5519399553,51481956,Northeast Terre View Drive,0.4686898945892647,,secondary
6189156,51481956,687171287,Northeast Terre View Drive,0.3148614472861312,,secondary
54583900,5740747337,687171287,Northeast Palouse Ridge Drive,0.08519411680343743,,residential
6189156,687171287,51481960,Northeast Terre View Drive,5.281391501815527,,secondary
6189156,51481960,51481962,Northeast Terre View Drive,0.8947103785795743,,secondary
6189156,51481962,51481964,Northeast Terre View Drive,0.8484742116597649,,secondary
6189156,51481964,2501925847,Northeast Terre View Drive,1.3307940201716706,,secondary
6189156,2501925847,5519399493,Northeast Terre View Drive,0.4336978005499323,,secondary
6189156,5519399493,5519399479,Northeast Terre View Drive,0.033754242536328645,,secondary
6189156,5519399479,51481967,Northeast Terre View Drive,0.45827752961440793,,secondary
6189156,51481967,5519399480,Northeast Terre View Drive,0.37417220479188806,,secondary
6189156,5519399480,473389164,Northeast Terre View Drive,0.3698134226887018,,secondary
6189156,473389164,5519399481,Northeast Terre View Drive,0.39634995967928977,,secondary
6189156,5519399481,2501925843,Northeast Terre View Drive,0.39966903547329413,,secondary
6189156,2501925843,5519399482,Northeast Terre View Drive,0.4732602134032368,,secondary
6189156,5519399482,473389163,Northeast Terre View Drive,0.47428209970169877,,secondary
6189156,473389163,2501925837,Northeast Terre View Drive,2.286060418201839,,secondary
6189156,2501925837,2501925839,Northeast Terre View Drive,1.22470394609697,,secondary
6189156,2501925839,2501925841,Northeast Terre View Drive,0.5767095625573917,,secondary
6189156,2501925841,473389162,Northeast Terre View Drive,0.6402081781809357,,secondary
6189156,473389162,5519399396,Northeast Terre View Drive,0.07419945643674555,,secondary
6189156,5519399396,2501925835,Northeast Terre View Drive,0.64705796580766,,secondary
575139482,5519399396,5519399397,,0.28258828500872757,,service
6189156,2501925835,473389161,Northeast Terre View Drive,0.8812107588943041,,secondary
6189156,473389161,3051832708,Northeast Terre View Drive,0.7940663260565116,,secondary
6189156,3051832708,2501925833,Northeast Terre View Drive,0.5579241646316015,,secondary
6189156,2501925833,2501925831,Northeast Terre View Drive,0.8655060070405673,,secondary
6189156,2501925831,2501925825,Northeast Terre View Drive,4.192089667046195,,secondary
6189156,2501925825,3051835825,Northeast Terre View Drive,0.6276892556032498,,secondary
6189156,3051835825,51481969,Northeast Terre View Drive,0.4210186548789709,,secondary
6189156,51481969,3051832701,Northeast Terre View Drive,0.42894336153506907,,secondary
6189156,3051832701,2501925827,Northeast Terre View Drive,0.5019690771691585,,secondary
6189156,2501925827,51500301,Northeast Terre View Drive,0.4419530992277043,,secondary
34582147,7617671210,51500301,Airport Road,0.19409090978373889,,secondary
6189158,51481995,51481996,,0.8526200767589287,,residential
6193443,51481995,51524741,Northwest Bryant Street,0.5578509733887411,,residential
6195462,51533749,51524741,Northwest Cleveland Street,2.896903575058085,,residential
6189158,51481996,2372281504,,0.289959879276905,,residential
6189158,2372281504,2372281502,,0.2847786845152074,,residential
6189158,2372281502,51481999,,0.3402004890365099,,residential
6192973,2373867761,51481999,Northwest Irving Street,0.16093181136756818,,residential
6189168,581288188,11218897359,Northwest Parkwood Boulevard,0.5735978485797905,,residential
6192658,581288188,51513733,Northwest Lancer Lane,0.11828236861015842,,residential
6189168,11218897359,11218897358,Northwest Parkwood Boulevard,0.6340775951534026,,residential
6189168,11218897358,11218897357,Northwest Parkwood Boulevard,1.187722084093097,,residential
6189168,11218897357,51513708,Northwest Parkwood Boulevard,0.7938242525989536,,residential
6192658,11218897353,51513708,Northwest Lancer Lane,0.5962166386328321,,residential
6189186,51482325,51482326,,0.3380028022986461,,service
6196013,51482325,51557030,Northwest Davis Way,0.7634083621370917,,primary
6189186,51482326,11220598912,,0.32922651897842076,,service
6189186,11220598912,11220598913,,0.33496905504604413,,service
6189186,11220598913,11220598914,,0.4259957688069616,,service
6189186,11220598914,2821633978,,0.177476120417608,,service
6189186,2821633978,11220598911,,0.08325599766534414,,service
6189186,11220598911,51482328,,0.05348772553579746,,service
6189186,51482328,2821633979,,0.08929327462939912,,service
6189186,2821633979,2821633980,,0.11193298423649642,,service
6189186,2821633980,11220598915,,0.2439659780328106,,service
6189186,11220598915,51482331,,0.47159549047963045,,service
6189188,51482349,2673994659,,1.1074062146522887,,residential
6196701,51482349,3929897913,Hayward Road,0.2569536036350014,,residential
6189188,2673994659,51482351,,2.0369008364484427,,residential
6189188,51482351,51482353,,0.46048920066364435,,residential
6189188,51482353,51482355,,0.10027877138890126,,residential
6189188,51482355,2673994615,,0.0905829908298751,,residential
6189188,2673994615,2673994605,,0.11235392267543792,,residential
6189188,2673994605,2673994703,,0.7152839961568237,,residential
6189197,5384696186,11203292586,,0.017443573502778323,,service
6189197,11203292586,5384696187,,0.42981776512500963,,service
6189197,5384696187,11203292585,,0.125680793555253,,service
6189670,5384696187,5909232123,,0.1874906146111395,,service
6189197,11203292585,5384696185,,0.12013331733084845,,service
6189197,5384696185,11203292598,,0.7804090169321177,,service
6189197,11203292598,11203292597,,0.17125714163303307,,service
6189197,11203292597,11203292596,,0.7256802210060436,,service
6189197,11203292596,11203292595,,0.28960060361550893,,service
6189197,11203292595,11203292594,,0.1938525079875587,,service
6189197,11203292594,11203292593,,0.6721228088479042,,service
6189197,11203292593,11203292599,,0.16008760943856562,,service
6189197,11203292599,11203292592,,0.6675593161810535,,service
6189197,11203292592,5837931521,,0.8513286404801796,,service
6189197,5837931521,51482485,,0.036595753253785474,,service
6189197,51482485,11203292591,,0.088214855775397,,service
6191188,51482485,51502346,,0.335499020984232,,service
456901411,688238392,51502346,Northeast Terre View Drive,1.1856140711239442,,secondary
6189197,11203292591,51482487,,0.41594299904143206,,service
6189334,51484102,51484103,,0.4013372614769506,,residential
6194220,51484102,51533737,Northwest State Street,0.5221295201751981,,residential
6189344,51484183,5587276125,,0.35871239642829006,,service
584497071,5587276124,5587276125,,0.12797648260014927,,service
421949583,51484183,5587274815,South Grand Avenue,1.3181302280157592,,primary
584497070,10248239998,5587274815,,0.19013953790693777,yes,service
6189344,5587276125,51484184,,0.20485778570122326,,service
6189344,51484184,5406580527,,0.11927329167389573,,service
6189344,5406580527,448449817,,0.10289237573070617,,service
6189344,448449817,448449449,,0.16021140691623176,,service
6189344,448449449,2673994708,,0.17521819524248033,,service
6189344,2673994708,448449450,,0.30980277405633105,,service
6189344,448449450,51484186,,0.3638727108506886,,service
6189344,51484186,448449452,,0.1513009688575081,,service
6190964,51484186,51499923,,0.6072355920149028,,service
6189344,448449452,3072542741,,0.13341098230574833,,service
6189344,3072542741,51484188,,0.14995195810622006,,service
6189344,51484188,51484190,,0.45605440809302406,,service
6190965,51484188,51499934,,0.901757225709455,,service
6189344,51484190,51484194,,0.7748837491706005,,service
6190966,51484190,51499945,,1.5523735916486994,,service
6189344,51484194,51484196,,0.4094664832427713,,service
6192532,51484194,51512588,,1.4851038327658286,,service
6189344,51484196,51484198,,0.2769597407322911,,service
6189344,51484198,3072542734,,0.1740124723006373,,service
6189344,3072542734,448448112,,0.2050784874541306,,service
6189344,448448112,448448113,,1.0588050133105327,,service
6189344,448448113,3072542712,,0.16742522487270153,,service
6189344,3072542712,51484200,,0.1540106155536157,,service
6189344,51484200,51484202,,1.5965030301029604,,service
6189344,51484202,448448114,,0.1512313781907175,,service
6189344,448448114,51484203,,0.16890084732817875,,service
6189344,51484203,51484204,,1.1376663702599032,,service
6189401,51484882,51484887,,0.779776620932993,,residential
6195056,51484882,443535195,State Route 270,1.0060210702415802,,primary
6189401,51484887,51484889,,0.15257248636520201,,residential
6189800,2453596458,51484889,,0.4617325723868548,,residential
6189410,8317102340,51484922,,0.08863186373653076,,service
6189410,51484922,51484924,,0.07747220158230513,,service
6189410,51484924,9915340267,,0.28036545000346946,,service
6189410,9915340267,2453596474,,0.4687918786602693,,service
6189410,2453596474,51484925,,0.0747103642249555,,service
6189410,51484925,2453596472,,0.08817905361761123,,service
6189410,2453596472,2453596426,,0.2208595124464195,,service
6189410,2453596426,2453596430,,0.10649397725565611,,service
6189410,2453596430,51484928,,0.1172698949114977,,service
6189410,51484928,51484930,,2.0212099756636226,,service
6189410,51484930,2453596440,,0.21144495044143868,,service
6189410,2453596440,51484931,,0.20099764019761446,,service
6189410,51484931,51484933,,0.16249996767866803,,service
6189410,51484933,2453596450,,0.47706814709907097,,service
