osmid,lat,lon
51478317,46.7273260,-117.1649661
51478318,46.7290724,-117.1616128
51478396,46.7287390,-117.1901960
51478398,46.7289378,-117.1911805
51478400,46.7307605,-117.1909847
51478405,46.7511978,-117.1745664
51478409,46.7507958,-117.1773092
51478412,46.7507424,-117.1779278
51478436,46.7244601,-117.1856898
51478438,46.7245131,-117.1854208
51478440,46.7254423,-117.1844118
51478441,46.7261499,-117.1836795
51478444,46.7262267,-117.1835748
51478836,46.7461456,-117.1804289
51478837,46.7455295,-117.1797271
51478838,46.7441444,-117.1779574
51478839,46.7430471,-117.1765673
51478840,46.7424365,-117.1757691
51478841,46.7409403,-117.1738831
51478850,46.7220157,-117.1725798
51478851,46.7217485,-117.1721144
51479288,46.7308985,-117.1476537
51479292,46.7568882,-117.1428775
51479293,46.7566517,-117.1454750
51479316,46.7440590,-117.1523135
51479322,46.7135284,-117.1821415
51479325,46.7130758,-117.1822106
51479329,46.7123079,-117.1822114
51479331,46.7118472,-117.1823336
51479334,46.7110452,-117.1823136
51479336,46.7101741,-117.1824093
51479339,46.7069327,-117.1823649
51479341,46.7069130,-117.1816728
51479740,46.7123106,-117.1930927
51479741,46.7120841,-117.1931006
51479743,46.7117386,-117.1931276
51479744,46.7113393,-117.1931520
51479792,46.7366328,-117.1675504
51479794,46.7376270,-117.1675611
51480270,46.7308136,-117.1730930
51480308,46.7131556,-117.1625625
51480309,46.7131638,-117.1624781
51480518,46.7354392,-117.1724480
51480521,46.7358927,-117.1724461
51480523,46.7359496,-117.1720825
51480526,46.7195442,-117.1472793
51480528,46.7199077,-117.1476253
51480530,46.7202201,-117.1477069
51480532,46.7203501,-117.1476044
51480534,46.7208479,-117.1471283
51480536,46.7209450,-117.1469659
51480537,46.7211294,-117.1464527
51480539,46.7212574,-117.1445354
51480542,46.7212413,-117.1441937
51480788,46.7400391,-117.1632991
51480790,46.7402194,-117.1635024
51480794,46.7403323,-117.1644055
51480796,46.7422081,-117.1646912
51480798,46.7421761,-117.1643771
51480800,46.7422602,-117.1639976
51480803,46.7422292,-117.1629951
51480805,46.7421623,-117.1605414
51481032,46.7070849,-117.1094883
51481034,46.7069655,-117.1095287
51481036,46.7066479,-117.1095685
51481037,46.7049777,-117.1092842
51481040,46.7048094,-117.1093481
51481202,46.7426799,-117.1576917
51481203,46.7427440,-117.1572768
51481206,46.7429293,-117.1567267
51481208,46.7432916,-117.1556209
51481210,46.7436031,-117.1559470
51481212,46.7436693,-117.1561764
51481213,46.7438874,-117.1576520
51481956,46.7422447,-117.1426918
51481960,46.7422329,-117.1393247
51481962,46.7422522,-117.1387871
51481964,46.7423149,-117.1382848
51481967,46.7424768,-117.1369512
51481969,46.7383322,-117.1302038
51481995,46.7350563,-117.1813670
51481996,46.7350502,-117.1804694
